graph,nodes,edges,density,weak_components,strong_components,largest_weak_component,largest_weak_component_pct,isolated_nodes,isolated_pct,mean_out_degree,mean_in_degree
recommendation,15492,181378,0.0007557839527788247,3562,4326,11829,0.7635553834237025,3477,0.22443841982958945,11.707849212496772,11.707849212496772
relation,15492,19196,7.998780865122737e-05,7541,7660,237,0.015298218435321457,5245,0.33856183836819004,1.2390911438161631,1.2390911438161631
combined,15492,199418,0.0008309548252558064,1109,1198,14180,0.9153111283242964,967,0.062419313193906534,12.872321198037698,12.872321198037698
