mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
16149,Kick-Heart,Movie,6.43,23312,5211,Comedy|Romance|Sports,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5107.0,8803.0
16159,Mirai Kara Kita Shounen Super Jetter,TV,5.94,885,15813,Action|Comedy|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13902.0,11854.0
16163,Sore Ike! Anpanman: Kirakira Boshi no Namida,Movie,6.06,758,16466,Action|Adventure|Comedy,0,1,0.0,9.0,1.3655950645470218e-05,-8.601499417782091e-20,0.0,10184,14246.0,11226.0
57058,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",TV,6.86,222044,1273,Action|Adventure|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,1274.0,5744.0
57096,Bu Si Bu Mie,ONA,6.56,1180,14631,Action|Adventure|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13237.0,7847.0
57097,Wanneng Lian Ai Zahuo Dian,ONA,7.53,2045,12630,Fantasy|Romance|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,11794.0,2036.0
57099,Na Nare Hana Nare,TV,6.37,34544,4404,Drama|Slice of Life|Sports,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4337.0,9229.0
57100,The New Gate,TV,6.47,154600,1741,Action|Adventure|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,1742.0,8520.0
57152,Mahoutsukai no Yakusoku,TV,5.5,27527,4867,Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4782.0,13907.0
57181,Ao no Hako,TV,8.16,340468,828,Romance|Slice of Life|Sports,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,828.0,501.0
57189,Debu to Love to Ayamachi to!,TV,6.68,17637,5819,Comedy|Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5690.0,6982.0
748,True Love Story,OVA,6.02,5557,9218,Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8859.0,11448.0
752,Osakana wa Ami no Naka,OVA,4.78,8873,7656,Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7405.0,15154.0
753,Chijoku Shinsatsushitsu,OVA,6.18,6354,8740,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8418.0,10481.0
755,Boku no Sexual Harassment,OVA,5.57,19437,5602,Drama|Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5479.0,13648.0
757,Kaze wo Mita Shounen,Movie,6.65,6662,8580,Adventure|Drama|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8273.0,7223.0
759,Tokyo Godfathers,Movie,8.29,332532,854,Adventure|Comedy|Drama,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,854.0,330.0
57044,Fleur The Animation,OVA,7.1,5209,9484,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,9061.0,4380.0
57050,Kisaki Kyouiku kara Nigetai Watashi,TV,5.67,39086,4161,Comedy|Fantasy|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4100.0,13222.0
9998,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,OVA,5.8,662,17091,Comedy|Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14538.0,12606.0
10003,Kago Shintarou Anime Sakuhin Shuu,OVA,4.8,6709,8552,Comedy|Horror,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8246.0,15138.0
738,MÄR,TV,7.26,56725,3375,Action|Adventure|Comedy|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3339.0,3358.0
741,Sensitive Pornograph,OVA,6.64,47424,3746,Drama|Hentai|Romance|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3701.0,7282.0
743,Umi ga Kikoeru,Special,6.54,151555,1776,Drama|Romance|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,1771.0,7990.0
744,Trouble Chocolate,TV,6.55,6836,8496,Comedy|Romance|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8194.0,7913.0
746,Papa to Kiss in the Dark,OVA,5.82,51526,3563,Comedy|Drama|Romance|Erotica,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3524.0,12490.0
747,Haru wo Daiteita,OVA,6.67,27841,4848,Drama|Romance|Erotica,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4756.0,7066.0
33761,Qui Shui Yi Yun,ONA,5.68,1480,13744,Horror|Mystery|Supernatural,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,12633.0,13176.0
57448,Fureru.,Movie,6.84,11508,6887,Drama|Supernatural,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,6675.0,5876.0
33768,Oide yo! Shiritsu Yarimakuri Gakuen,OVA,6.92,11840,6818,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,6608.0,5359.0
57470,"Modaete yo, Adam-kun",ONA,7.08,16265,5994,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5849.0,4502.0
33769,Imouto to Sono Yuujin ga Ero Sugite Ore no Kokan ga Yabai,OVA,6.85,11120,6975,Hentai|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,6763.0,5811.0
33771,Cheating Craft,TV,5.37,73868,2908,Action|Comedy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,2889.0,14300.0
57499,Crayon Shin-chan Movie 32: Ora-tachi no Kyouryuu Nikki,Movie,7.16,1808,13030,Comedy|Ecchi|Slice of Life,0,3,0.0,29.0,1.3655950645470218e-05,-6.335428458440155e-19,0.0,10184,12107.0,3994.0
57501,SiNiSistar,OVA,4.77,2648,11774,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,11104.0,15160.0
57325,Ramen Akaneko,TV,7.4,18563,5694,Comedy|Fantasy|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5569.0,2619.0
57353,Mofa Gongzhu de Xiao Fannao,ONA,7.76,49826,3616,Comedy|Fantasy|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3579.0,1255.0
57360,Kabushikigaisha Magi-Lumière,TV,6.98,35677,4342,Action|Comedy|Fantasy|Mahou Shoujo,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4270.0,5033.0
