removed_mal_id,removed_title,removed_type,removed_members,removed_episodes,shared_anidb_id,canonical_mal_id,canonical_title,canonical_type,canonical_members,canonical_episodes
34960,Tesapuru da yo! Schedule no Au Hito dake Shuugou!,Special,678,6,10974,28835,Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,TV,4883,12
63503,Isekai no Sata wa Shachiku Shidai: Omoi wo Hasemashita,Special,5506,1,19507,60226,Isekai no Sata wa Shachiku Shidai,TV,53026,12
