staff_name,staff_id_anilist,staff_favorites_mal,staff_favorites_anilist,staff_favorites,anime_count,original_creator_count,director_count,original_character_design_count,staff_roles,anime_ids,anime_titles
"Amagakure, Gido",105360,36,57,57,2,2,0,0,Original Creator,32828|51705,Amaama to Inazuma|Otonari ni Ginga
"Honjou, Raita",118938,17,57,57,4,1,0,3,Original Character Design|Original Creator,5507|7016|9793|16656,Senjou no Valkyria|Senjou no Valkyria: SenVal Theater|Senjou no Valkyria 3: Tagatame no Juusou|Zettai Junpaku♡Mahou Shoujo
"Shimotsuki, Kairi",99750,57,7,57,1,1,0,0,Original Creator,11241,Brave 10
"Ookuma, Nekosuke",117125,38,57,57,10,0,0,10,Original Character Design,23233|29027|30365|30464|31338|32409|33011|36196|36688|39480,Shinmai Maou no Testament|Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou|Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou|Shinmai Maou no Testament Specials|Hundred|Shinmai Maou no Testament Burst Specials|Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku|Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season|Shinmai Maou no Testament Departures|Shinmai Maou no Testament Departures: Maria no Hizou Eizou
"Watanabe, Wataru",106715,56,44,56,12,12,0,0,Original Creator,18179|23945|24277|25755|30413|30790|31783|33302|35789|35880|38357|50552,Yowamushi Pedal|Majimoji Rurumo|Yowamushi Pedal: Grande Road|Yowamushi Pedal: Re:Ride|Yowamushi Pedal Movie|Yowamushi Pedal: Re:Road|Yowamushi Pedal: New Generation|Yowamushi Pedal: Spare Bike|Yowamushi Pedal: Glory Line|Yowamushi Pedal: Re:Generation|Majimoji Rurumo: Kanketsu-hen|Yowamushi Pedal: Limit Break
"Hara, Yui",107541,56,34,56,7,6,0,1,Original Creator|Original Character Design,16732|23269|30355|31909|33034|41471|50917,Kiniro Mosaic|Hello!! Kiniro Mosaic|Wakaba*Girl|Wakaba*Girl: Onsen Tsukaritai|Kiniro Mosaic: Pretty Days|Kiniro Mosaic: Thank You!!|Prima Doll
"Shirato, Sanpei",101586,27,56,56,6,6,0,0,Original Creator,5023|5232|6056|13307|30965|40302,Ninpuu Kamui Gaiden|Ninja Bugei-chou|Sasuke|Shounen Ninja Kaze no Fujimaru|Ninpuu Kamui Gaiden: Tsukihigai no Maki|Ninja Bugei-chou Pilot Film
Ikeda,126407,0,56,56,4,4,0,0,Original Story|Original Creator,34740|37771|38732|55691,"Yareruko! Densha Ecchi|Kiniitta Chitsu ni Ikinari Nakadashi OK na Resort-tou|Chikan Shita Joshi*sei to Sonogo, Musabori Au Youna Doero Junai|Koumi-jima Shuu 7 de Umeru Mesu-tachi"
"Anzai, Nobuyuki",96966,56,16,56,3,3,0,0,Original Creator,238|738|5691,Rekka no Honoo|MÄR|Rekka no Honoo: Final Burning
"Kusunoki, Kei",97279,56,7,56,3,3,0,0,Original Creator,1484|3913|4537,Youma|Onikirimaru|Yagami-kun no Katei no Jijou
"Azuma, Hideo",100722,45,56,56,3,2,0,1,Original Creator|Original Character Design,3136|3619|53774,Ochamegami Monogatari: Korokoro Pollon|Nanako SOS|Azicon Opening Animation
"Kirin, Kakeru",106741,4,56,56,2,2,0,0,Original Creator,55161|55162,Tanetsuke Ojisan to NTR Hitozuma Sex The Animation|Tanetsuke Ojisan to Papakko JD Saimin Seikatsu The Animation
"Ikeyamada, Gou",97545,0,56,56,2,2,0,0,Original Creator,7668|19575,Suki desu Suzuki-kun!!|Kobayashi ga Kawai sugite Tsurai!!
"Yonetani, Yoshitomo",107262,56,35,56,23,1,23,0,Director|Original Story,890|921|1136|1382|1450|2625|2648|3077|3390|6566|6567|9493|12015|12017|28171|32282|34368|35116|35788|36949|39940|40902|54105,Yuusha-Ou GaoGaiGar|Nurse Witch Komugi-chan Magikarte Z|Betterman|Yuusha-Ou GaoGaiGar Final|Brigadoon: Marin to Melan|The☆Doraemons: Kaitou Dorapin Nazo no Chousenjou!|Doraemon: 2112-nen Doraemon Tanjou|Warau Salesman|Hoshi no Umi no Amuri|It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday|Urusei Yatsura: The Shougaibutsu Suieitaikai|Dororon Enma-kun Meeramera|Tiger & Bunny Movie 1: The Beginning|Tiger & Bunny Movie 2: The Rising|Shokugeki no Souma|Shokugeki no Souma: Ni no Sara|Vatican Kiseki Chousakan|Warau Salesman Dai SP-banashi|Shokugeki no Souma: San no Sara|Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen|Shokugeki no Souma: Shin no Sara|Shokugeki no Souma: Gou no Sara|The☆Doraemons: Mystery X'Mass Daisakusen
"Nishimura, Satoshi",105285,56,21,56,8,1,8,0,Director|Original Story,6|263|264|4106|29854|31098|36858|37447,Trigun|Hajime no Ippo|Hajime no Ippo: Champion Road|Trigun: Badlands Rumble|Ushio to Tora (TV)|Ushio to Tora (TV) 2nd Season|Usuzumizakura: Garo|Karakuri Circus
"Kogawa, Tomonori",105957,34,56,56,2,1,2,0,Director|Original Creator,5934|9356,Greed|Cool Cool Bye
Simon,114035,0,56,56,1,1,0,0,Original Creator,56511,Hatsukoi Jikan
chin,265274,3,56,56,1,1,0,0,Original Creator,59523,Mazome Soap de Aimashou!
"Araki, Hideki",106201,48,56,56,31,0,31,0,Director,2329|2348|2411|2588|2852|3559|3578|3636|3998|4502|4607|6194|6685|9311|9326|11467|17747|33231|34168|34821|34823|34899|37360|38212|40336|40845|41200|42414|44211|48651|49762,"Shin Kyouhaku 2 The Animation: Kizu ni Saku Hana Senketsu no Kurenai|Shitai wo Arau The Animation|Ane to Boin|Sinkan|Accelerando: Datenshi-tachi no Sasayaki|Stringendo: Angel-tachi no Private Lesson|Daraku: Onna Kyoushi Hakai|Warau Kangofu The Animation|Tokumu Sousakan Rei & Fuko|Stringendo+Accelerando Ultimatum Sera|Tsuma to Mama to Boin|Stretta The Animation|Mesu Kyoushi: Injoku no Kyoushitsu|Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu|Yubisaki Annainin Shirudaku Settai Okawari Sanbaime|TSF Monogatari|Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation|Fella Hame Lips|Hataraku Otona no Renai Jijou The Animation|Seiso de Majime na Kanojo ga, Saikyou Yaricir ni Kanyuu Saretara...? The Animation|Souryo to Majiwaru Shikiyoku no Yoru ni...|Monmusu Quest!|Imouto Paradise! 3 The Animation|Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.|Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation"
"Kobayashi, Tomoki",109703,56,14,56,16,0,16,0,Director,856|981|1965|3174|3594|10863|11235|22199|31338|33836|36108|38909|40904|50694|57646|61926,Utawarerumono|Ichigo 100% OVA|Sola|Sola Specials|Tears to Tiara|Steins;Gate: Oukoubakko no Poriomania|Amagami SS+ Plus|Akame ga Kill!|Hundred|Seiren|Takunomi.|Infinite Dendrogram|Bokutachi no Remake|Summer Pockets|Mob kara Hajimaru Tansaku Eiyuutan|Summer Pockets Movie
"Suzuki, Kenichi",119341,56,16,56,6,0,6,0,Director,8132|31339|37141|39063|39811|60593,Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors|Drifters|Hataraku Saibou|Fairy Gone|Fairy Gone Part 2|Vigilante: Boku no Hero Academia Illegals
"Arai, Kazuto",131191,8,56,56,1,0,1,0,Director,38086,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram
"Maro, Fal",124258,7,56,56,3,0,0,3,Original Character Design,47159|49592|50905,Tensai Ouji no Akaji Kokka Saisei Jutsu|Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama|Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama Specials
"Shouji, Ayumu",112275,40,55,55,4,4,0,0,Original Creator,31740|33993|34311|34937,Chicchana Onaka|300 En no Otsukiai Anime Edition|Ecchi na Shintai Sokutei Anime Edition|Ichinen Buri no The Animation
Goban,112385,12,55,55,3,3,0,0,Original Creator,21925|36121|48697,Chichiiro Toiki|Ikkyuu Nyuukon|Eroge de Subete wa Kaiketsu Dekiru! The Animation
"Yaku, Yuki",123016,0,55,55,3,3,0,0,Original Story,40530|45604|50803,Jaku-Chara Tomozaki-kun|Jaku-Chara Tomozaki-kun Specials|Jaku-Chara Tomozaki-kun 2nd Stage
"Soda, Masahito",99701,32,55,55,3,3,0,1,Original Creator|Original Character Design|Original Story,388|3147|53848,Capeta|Megumi no Daigo: Kajiba no Baka Yarou|Megumi no Daigo: Kyuukoku no Orange
"Miura, Tadahiro",111985,55,44,55,2,2,0,0,Original Creator,36726|36950,Yuragi-sou no Yuuna-san|Yuragi-sou no Yuuna-san OVA
Suihei-sen,147711,0,55,55,2,2,0,0,Original Creator,40521|49945,Kiss Hug|Girls Rush The Animation
"Konomoto, Kazuya",141340,55,54,55,1,1,0,0,Original Creator,58915,Housenka
"Ame, Arare",175460,3,55,55,1,1,0,0,Original Creator,42591,Toshoshitsu no Kanojo: Seiso na Kimi ga Ochiru made - The Animation
Keromakura,99489,0,55,55,1,1,0,0,Original Creator,3299,H2O: Footprints in the Sand
Benio,118632,8,55,55,2,0,0,2,Original Character Design,40586|50738,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita|Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita: Sono Ni"
"Kaguya, Atelier",160761,54,13,54,10,10,0,0,Original Creator,753|1783|2275|2276|2958|3917|13937|25669|29808|34639,Chijoku Shinsatsushitsu|Imouto Jiru|Saishuu Chikan Densha|Shin Saishuu Chikan Densha|Hitozuma Cosplay Kissa|Hitozuma Cosplay Kissa 2: Hitozuma LoveLove - Cosplay OVA|Saishuu Chikan Densha Next|Niku Mesu R30: Nikuyoku ni Ochita Mesu-tachi The Animation|Namaiki: Kissuisou e Youkoso! The Animation|Ero Semi: Ecchi ni Yaruki ni ABC - The Animation
"Kaneko, Akifumi",109609,46,54,54,5,5,0,0,Original Creator,11751|15793|21573|32836|32843,Senki Zesshou Symphogear|Senki Zesshou Symphogear G|Senki Zesshou Symphogear GX|Senki Zesshou Symphogear AXZ|Senki Zesshou Symphogear XV
"Anbe, Masahiro",102255,48,54,54,3,3,0,0,Original Creator,8557|9888|10378,Shinryaku! Ika Musume|Shinryaku! Ika Musume Specials|Shinryaku!? Ika Musume
"Takahashi, Keitarou",99091,37,54,54,3,2,0,1,Original Creator|Original Character Design,12413|13331|41497,Jormungand|Jormungand: Perfect Order|Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon
"Itosugi, Masahiro",98742,54,33,54,2,2,0,0,Original Creator,6987|8577,Aki-Sora|Aki-Sora: Yume no Naka
"Takeda, Sun",104722,54,40,54,1,1,0,0,Original Creator,39463,Gleipnir
"INAGAWA, JUN",225394,54,46,54,1,1,0,0,Original Creator,48981,Mahou Shoujo Magical Destroyers
"Fukuchi, Tsubasa",97314,54,39,54,1,1,0,0,Original Creator,479,Ueki no Housoku
"Oikawa, Kei",105140,54,34,54,15,0,15,0,Director,5162|5713|19369|23847|31952|35249|36296|37916|39547|40394|40940|42941|50221|51225|53526,Minami-ke Okaeri|Minami-ke Betsubara|Outbreak Company|Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku|Kono Bijutsu-bu ni wa Mondai ga Aru!|Uma Musume: Pretty Derby|Hinamatsuri|Uma Musume: Pretty Derby - BNW no Chikai|Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan|Zenonzard The Animation Episode 0|Zenonzard The Animation|Uma Musume: Pretty Derby Season 2|Shine Post|Uma Musume: Pretty Derby - 1st Anniversary Special Animation|Uma Musume: Pretty Derby Season 3
"Gongora, Abel",154060,0,54,54,1,0,1,0,Director,60543,Dandadan 2nd Season
Tomari,138706,21,54,54,5,0,0,5,Original Character Design,47158|51252|53680|54923|54947,Tomodachi no Imouto ga Ore ni dake Uzai|Spy Kyoushitsu|Pole Princess!!|Pole Princess!! Movie|Spy Kyoushitsu 2nd Season
"Aikawa, Shou",101490,53,44,53,7,7,0,0,Original Creator,879|1163|1587|3248|3935|31147|32313,Simoun|Neo Ranga|Tenpou Ibun: Ayakashi Ayashi|Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku|Karakuri Kiden: Hiwou Senki|Concrete Revolutio: Choujin Gensou|Concrete Revolutio: Choujin Gensou - The Last Song
"Lan, Hudie",120528,53,26,53,7,7,0,0,Original Story,33926|37078|37932|40080|49559|56963|60513,Quanzhi Gaoshou|Quanzhi Gaoshou Specials|Quanzhi Gaoshou 2|Quanzhi Gaoshou: Dianfeng Rongyao|Quanzhi Gaoshou 3|Jin Zhan Fashi|Quanzhi Gaoshou: Rongyao Xiao Juchang
"Tsutsui, Yasutaka",97488,34,53,53,3,3,0,0,Original Story|Original Creator,1943|2236|41120,Paprika|Toki wo Kakeru Shoujo|Fugou Keiji: Balance:Unlimited
"Dickens, Charles",169448,53,11,53,2,2,0,0,Original Creator,3877|19971,Sasurai no Shoujo Nell|Machi Ichiban no Kechinbou
Eightman,138494,5,53,53,1,1,0,0,Original Creator,57937,Mebuki The Animation
Mashiro,139223,28,53,53,1,1,0,0,Original Creator,53126,Yamada-kun to Lv999 no Koi wo Suru
"Yamamoto, Yuusuke",104990,53,50,53,19,0,19,0,Director,188|562|1210|2934|2970|7817|10447|14355|19151|21435|32175|33491|34104|35672|35673|37890|48491|53026|56731,"Gosenzo Sane|Sakura Taisen: Le Nouveau Paris|NHK ni Youkoso!|Shiawase Sou no Okojo-san|Night Wizard|B-gata H-kei|Aquarion Evol|Yama no Susume|Walkure Romanze|Yama no Susume Second Season|Shounen Maid|Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?|Knight's & Magic|Yama no Susume Third Season|Yama no Susume: Omoide Present|Oshi ga Budoukan Ittekuretara Shinu|Yama no Susume: Next Summit|Synduality: Noir|Synduality: Noir Part 2"
"Morita, Shuuhei",101564,53,13,53,6,0,6,0,Director,1192|1747|9333|22319|27899|31749,Kakurenbo|Freedom|Koi☆Sento|Tokyo Ghoul|Tokyo Ghoul √A|Chou Kidougai-ku: Kashiwa-no-Ha
"Masuda, Ryuuji",108113,53,26,53,6,0,6,0,Director,2232|3519|6131|6560|22345|39780,Funny Pets|Garakuta-doori no Stain|Charady no Joke na Mainichi|Popee the Performer|Funny Pets 2nd Season|Popee the Performer: Countdown Special
"Murota, Yuuhei",118986,19,53,53,3,0,0,3,Original Character Design,41169|50203|53287,Love Live! Superstar!!|Love Live! Superstar!! 2nd Season|Love Live! Superstar!! 3rd Season
"Kyougoku, Natsuhiko",101978,52,39,52,7,7,0,0,Original Creator|Original Story,279|4879|7598|10104|10261|60009|61491,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari|Mouryou no Hako|Loups=Garous|Loups=Garous #Overture|Toufu Kozou|Chuuzenji-sensei Mononoke Kougiroku: Sensei ga Nazo wo Hodoite Shimau kara.|Chibizenji-sensei Inokori Kougiroku
"Gokurakuin, Sakurako",97570,52,30,52,5,5,0,4,Original Creator|Original Character Design,741|4063|5277|5279|9355,Sensitive Pornograph|Sekirei|Sekirei: Pure Engagement|Sekirei: Hajimete no Otsukai|Sekirei: Pure Engagement Episode 0
"Montgomery, Lucy Maud",116169,18,52,52,4,4,0,0,Original Creator,283|1878|8950|60334,Akage no Anne|Kaze no Shoujo Emily|Akage no Anne: Green Gables e no Michi|Anne Shirley
"Im, Dal-Young",97827,0,52,52,4,4,0,0,Original Creator,5079|6794|9367|18001,Kurokami The Animation|Kurokami: Tora to Tsubasa|Freezing|Freezing Vibration
"Kobayashi, Makoto",98540,52,41,52,4,4,0,0,Original Creator,12005|12037|12039|19063,What's Michael?|What's Michael? 2|What's Michael? (TV)|Judo-bu Monogatari
"Shiibashi, Hiroshi",99500,52,26,52,4,4,0,0,Original Creator,7592|10049|10886|15959,Nurarihyon no Mago|Nurarihyon no Mago: Sennen Makyou|Nurarihyon no Mago: Gekitou Dai Futsal Taikai! Nuragumi W Cup!!|Nurarihyon no Mago OVA
Rouka,125909,5,52,52,2,2,0,0,Original Creator,60443|60512,Oniisan Ohitori desu ka?|Gomu wo Tsukete to Iimashita yo ne...
"Oowara, Sumito",138890,34,52,52,2,2,0,0,Original Creator,39792|41454,Eizouken ni wa Te wo Dasu na!|Eizouken Mini Anime
"Kobayashi, Makoto",117729,52,41,52,3,1,3,0,Director|Original Creator,2169|2475|3135,Ice|6 Angels|Dragon's Heaven
QuinRose,105558,52,11,52,1,1,0,0,Original Creator,4713,Heart no Kuni no Alice: Wonderful Wonder World
"Mikemono, Yuu",123827,10,52,52,1,1,0,0,Original Creator,35727,Mayoiga no Oneesan The Animation
"Fukuyama, Ryouko",97184,0,52,52,1,1,0,0,Original Creator,33203,Fukumenkei Noise
"Koume, Keito",97665,52,24,52,1,1,0,0,Original Creator,3939,Kafun Shoujo Chuuihou! The Animation
"Hara, Keiichi",104680,52,29,52,15,0,15,0,Director,2450|2636|2848|3023|3744|5628|6460|8142|8360|8361|8362|23987|38985|51116|58628,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu|Dorami-chan: Arara Shounen Sanzokudan|Kappa no Coo to Natsuyasumi|Esper Mami|Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen|21 Emon|Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki|Colorful (Movie)|Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen|Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen|Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle|Sarusuberi: Miss Hokusai|Birthday Wonderland|Kagami no Kojou|Kagami no Kojou no Mae to Ato
"Kamiya, Yuki",255762,9,52,52,1,0,1,0,Director,50383,VERSEⁿ: Episodeⁿ - Kuusou
Touzai,125133,18,52,52,8,0,0,8,Original Character Design,48316|52461|53406|54595|56842|57034|61026|61851,Kage no Jitsuryokusha ni Naritakute!|Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu|Kagejitsu!|Kage no Jitsuryokusha ni Naritakute! 2nd Season|Kagejitsu! Second|Ple Ple Pleiades x Kagejitsu!|Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga|Isekai Quartet 3
"Igarashi, Yumiko",97981,44,52,52,6,0,0,6,Original Character Design,723|2542|2800|2801|2802|4086,Candy Candy (Movie)|Lady Georgie|Candy Candy|Candy Candy: Haru no Yobigoe|Candy Candy: Candy no Natsu Yasumi|Mukamuka Paradise
"Ninomiya, Tomoko",97395,51,36,51,9,9,0,0,Original Creator,1698|3965|4477|5656|5690|6187|8038|8190|29823,Nodame Cantabile|Nodame Cantabile: Nodame to Chiaki no Umi Monogatari|Nodame Cantabile: Paris-hen|PuriGorota: Uchuu no Yuujou Daibouken|Nodame Cantabile Finale|Nodame Cantabile OVA|Nodame Cantabile: Finale - Mine to Kiyora no Saikai|Nodame Cantabile Finale OVA|Channel 5.5 3rd Season
"Kawakami, Taiki",113181,46,51,51,7,7,0,0,Original Story,37430|38793|39551|41487|49877|53580|54565,Tensei shitara Slime Datta Ken|Tensei shitara Slime Datta Ken OVA|Tensei shitara Slime Datta Ken 2nd Season|Tensei shitara Slime Datta Ken 2nd Season Part 2|Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen|Tensei shitara Slime Datta Ken 3rd Season|Tensei shitara Slime Datta Ken: Coleus no Yume
"Edogawa, Rampo",103696,0,51,51,4,4,0,0,Original Creator,12139|28619|33377|34197,"Wanpaku Tanteidan|Ranpo Kitan: Game of Laplace|Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori|Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA"
"Mikanagi, Touya",101275,51,24,51,2,2,0,0,Original Creator,16033|16035,Karneval|Karneval (TV)
Tony,99423,0,51,51,10,1,0,9,Original Character Design|Original Creator,2031|2135|2590|3711|5644|6120|7053|8294|12367|16638,"Shining Tears X Wind|Sora no Iro, Mizu no Iro|Genmukan|After... The Animation|Sora no Iro, Mizu no Iro Ero Specials|Mitama: Nin|Fault!!|Shinshou Genmukan|Shining Hearts: Shiawase no Pan|Fault!! Service: Aratanaru Rival"
"Kaihou, Norimitsu",101333,51,41,51,1,1,0,0,Original Creator,24765,Gakkougurashi!
"Haruno, Tomoya",103214,51,11,51,1,1,0,0,Original Creator,20031,D-Frag!
"Hotondo, Shindeiru",127773,38,51,51,1,1,0,0,Original Creator,49220,Isekai Ojisan
945,204656,5,51,51,1,1,0,0,Original Creator,61764,Wiheomhan Pyeonuijeom
"Itagaki, Shin",100652,51,32,51,28,0,28,0,Director,68|1726|2589|5675|10396|15125|16363|17395|18121|18231|20473|23991|26395|28861|30567|31440|32228|32379|32454|33811|34055|34522|34615|35370|36510|37984|38940|60765,"Black Cat|Devil May Cry|Black Cat: Toozakaru Neko|Basquash!|Ben-To|Teekyuu|Vanquished Queens|Ark IX|Teekyuu 2|Vanquished Queens Specials|Teekyuu 3|Cardfight!! Vanguard Movie: Neon Messiah|Teekyuu 4|Takamiya Nasuno desu! Teekyuu Spin-off|Teekyuu 5|Teekyuu 6|Teekyuu 7|Berserk|Usakame|Teekyuu 8|Berserk 2nd Season|Wake Up, Girls! Shin Shou|Usakame Special|Teekyuu 9|Ulysses: Jehanne Darc to Renkin no Kishi"
"Tachibana, Masaki",105927,51,20,51,15,0,15,0,Director,825|6211|9332|10260|22789|35240|37807|39506|41140|41141|49138|49665|50919|57093|57167,King of Fighters: Another Day|Tokyo Magnitude 8.0|.hack//Quantum|Eiyuu Densetsu: Sora no Kiseki The Animation|Barakamon|Princess Principal|Princess Principal: Crown Handler 1|Phantasy Star Online 2: Episode Oracle|Princess Principal: Crown Handler 2|Princess Principal: Crown Handler 3|Princess Principal: Crown Handler 1 - Busy Easy Money|Blue Thermal|Princess Principal: Crown Handler 2 - Revealing Reviews|Princess Principal: Crown Handler 4|Princess Principal: Crown Handler 3 - Cost for Custom Cars
"Misato, Tomoki",157621,21,51,51,6,0,6,0,Director,42899|44235|49976|49977|53650|60726,My Little Goat|Pui Pui Molcar|Look at Me Only|Candy.zip|Koi wa Elevator|My Melody & Kuromi
"Kise, Kazuchika",115781,22,51,51,5,0,4,1,Original Character Design|Director,5895|10502|19193|29325|35284,Tistou Midori no Oyayubi|Tansu Warashi.|Koukaku Kidoutai Arise: Ghost in the Shell - Border:3 Ghost Tears|Koukaku Kidoutai Arise: Alternative Architecture|Kodoku no Gourmet
"Kawagoe, Kazuki",223882,13,51,51,3,0,3,0,Director,48926|50631|54112,"Komi-san wa, Comyushou desu.|Komi-san wa, Comyushou desu. 2nd Season|Zom 100: Zombie ni Naru made ni Shitai 100 no Koto"
"Kurahana, Chinatsu",118505,33,51,51,11,0,0,11,Original Character Design,8449|10321|10447|12711|19365|21439|31178|35645|48573|52573|57622,Togainu no Chi|Uta no☆Prince-sama♪ Maji Love 1000%|Aquarion Evol|Uta no☆Prince-sama♪ Maji Love 2000%|Samurai Flamenco|Uta no☆Prince-sama♪ Maji Love Revolutions|Uta no☆Prince-sama♪ Maji Love Legend Star|Uta no☆Prince-sama♪ Movie: Maji Love Kingdom|Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours|Uta no☆Prince-sama♪ Maji Love ST☆RISH Tours: Tabi no Hajimari|Uta no☆Prince-sama♪ Movie: Taboo Night Kisses
toi8,112641,40,51,51,8,0,0,8,Original Character Design,10161|25431|28833|33728|33729|33730|34762|53494,No.6|Chain Chronicle: Short Animation|Chain Chronicle: Haecceitas no Hikari|Chain Chronicle: Haecceitas no Hikari Part 1|Chain Chronicle: Haecceitas no Hikari Part 2|Chain Chronicle: Haecceitas no Hikari Part 3|Chen-Kuro Gakuen|Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta
"Coffee, Kizoku",134629,51,8,51,4,0,0,4,Original Character Design,7265|22901|25055|36876,Kara no Shoujo|Love es M The Animation|Furifure The Animation|Furifure 2
"Yaegashi, Nan",150605,51,18,51,2,0,0,2,Original Character Design,27967|36037,Senran Kagura Estival Versus: Mizugi-darake no Zenyasai|Senran Kagura Shinovi Master: Tokyo Youma-hen
"Saitou, Atsushi",129191,6,51,51,1,0,0,1,Original Character Design,54650,Precure All Stars Movie F
GoRA,113473,50,35,50,11,11,0,0,Original Creator,14467|16904|27991|33248|37303|37304|37305|37306|37307|53428|55754,"K|K: Missing Kings|K: Return of Kings|K: Seven Stories Movie 1 - R:B - Blaze|K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku|K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai|K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni|K: Seven Stories Movie 5 - Memory of Red - Burn|K: Seven Stories Movie 6 - Circle Vision - Nameless Song|Ayaka|""Ayakai Shima"" e Youkoso! Mitaman no Ayakashima Kankou Annai"
Ergen,119099,50,31,50,5,5,0,0,Original Story|Original Creator,41923|49574|52180|56215|60279,Yi Nian Yong Heng|Yi Nian Yong Heng 2nd Season|San Cun Renjian|Yi Nian Yong Heng 3rd Season|Xian Ni Movie: Shenlin Zhi Zhan
"Nata, Kokone",120474,12,50,50,2,2,0,0,Original Creator,51680|54718,Cool Doji Danshi|Petit Cool Doji Danshi no Hitokoma
"Itou, Kazunori",97941,0,50,50,2,2,0,0,Original Story|Original Creator,2045|5945,Mahou no Tenshi Creamy Mami: Eien no Once More|Element Hunters
"Tatsuki, Amazuyu",189046,5,50,50,20,1,0,19,Original Character Design|Original Creator,215|289|471|706|707|856|1720|1830|3593|3594|4166|4804|5147|9005|11773|30901|33208|36777|40590|54041,Pia Carrot e Youkoso!! 2 DX|Comic Party|To Heart 2|Comic Party Revolution|Comic Party Specials|Utawarerumono|To Heart 2 OVA|Utawarerumono Specials|Utawarerumono OVA|Tears to Tiara|To Heart 2 AD|To Heart 2 AD Plus|Comic Party Revolution OVA|To Heart 2 Adnext|To Heart 2: Dungeon Travelers|Utawarerumono: Itsuwari no Kamen|Utawarerumono: Itsuwari no Kamen Specials|Utawarerumono: Tusukuru-koujo no Karei Naru Hibi|Utawarerumono: Futari no Hakuoro|16bit Sensation: Another Layer
"Cervantes, Miguel de",128691,0,50,50,1,1,0,0,Original Creator,7808,Zukkoke Knight: Don De La Mancha
"Ueda, Miwa",97435,50,30,50,1,1,0,0,Original Creator,325,Peach Girl
"Kawatsura, Shinya",104265,50,23,50,16,0,16,0,Director,454|9988|11887|16001|17549|21667|23623|32093|32547|32555|34102|36990|39808|43755|49521|60658,.hack//Gift|Otome wa Boku ni Koishiteru: Futari no Elder The Animation|Kokoro Connect|Kokoro Connect: Michi Random|Non Non Biyori|Non Non Biyori: Okinawa e Ikukoto ni Natta|Non Non Biyori Repeat|Tanaka-kun wa Itsumo Kedaruge|Non Non Biyori Repeat: Hotaru ga Tanoshinda|Stella no Mahou|Sakurada Reset|Non Non Biyori Movie: Vacation|Non Non Biyori Nonstop|Misaki no Mayoiga|Non Non Biyori Nonstop: Bukatsu wo Ganbatta|Hibi wa Sugiredo Meshi Umashi
