staff_name,staff_id_anilist,staff_favorites_mal,staff_favorites_anilist,staff_favorites,anime_count,original_creator_count,director_count,original_character_design_count,staff_roles,anime_ids,anime_titles
"Inoue, Takehiko",96911,16613,7361,16613,8,8,1,0,Original Creator|Director,170|406|1764|1861|2498|2499|2684|45649,Slam Dunk|Buzzer Beater|Slam Dunk (Movie)|Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi|Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi|Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu|Buzzer Beater 2nd Season|The First Slam Dunk
"Yuasa, Masaaki",100068,16562,5991,16562,17,4,17,0,Director|Original Creator,875|1454|3701|4420|7785|8664|9799|16149|22135|34537|34792|35120|38594|39183|39792|39938|40515,"Mind Game|Kemonozume|Kaiba|Vampiyan Kids: Pilot|Yojouhan Shinwa Taikei|Slime Boukenki: Umi da, Yeah!|Shin-Men|Kick-Heart|Ping Pong the Animation|Yoru wa Mijikashi Arukeyo Otome|Yoake Tsugeru Lu no Uta|Devilman: Crybaby|Kimi to, Nami ni Noretara|Super Shiro|Eizouken ni wa Te wo Dasu na!|Inu-Ou|Nihon Chinbotsu 2020"
"Toriyama, Akira",96901,16207,5004,16207,65,62,0,7,Original Creator|Original Character Design,223|225|502|813|891|892|893|894|895|896|897|898|899|900|901|902|903|904|905|906|984|985|986|987|2142|2222|2520|2819|3214|3312|4197|5152|6028|6033|6413|6484|7157|7158|7666|7667|7816|8546|8547|8548|8550|8551|10017|11359|11659|12231|14837|18603|22695|22777|25389|30420|30449|30694|34878|36946|37885|48903|53882|56894|57160,"Dragon Ball|Dragon Ball GT|Dragon Ball Movie 1: Shen Long no Densetsu|Dragon Ball Z|Dragon Ball Movie 2: Majinjou no Nemurihime|Dragon Ball Movie 3: Makafushigi Daibouken|Dragon Ball Movie 4: Saikyou e no Michi|Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!|Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu|Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen|Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu|Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou|Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi|Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin|Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen|Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu|Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai|Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da|Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta|Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru|Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku|Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks|Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen|Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu|Blue Dragon"
"Horie, Yui",95028,16002,3119,16002,3,0,0,3,Original Character Design,20033|24713|30384,Miss Monochrome The Animation|Miss Monochrome The Animation: Soccer-hen|Miss Monochrome The Animation 2
"Watanabe, Shinichirou",97009,15914,4229,15914,10,2,9,0,Director|Original Creator,1|5|205|474|1211|12531|23283|36308|37435|56038,Cowboy Bebop|Cowboy Bebop: Tengoku no Tobira|Samurai Champloo|Macross Plus|Macross Plus Movie Edition|Sakamichi no Apollon|Zankyou no Terror|Blade Runner: Black Out 2022|Carole & Tuesday|Lazarus
"Kishimoto, Masashi",96879,14612,2825,14612,24,24,0,0,Original Creator,20|442|594|761|936|1074|1735|2144|2248|2472|4134|4437|6325|7367|8246|10075|10589|10659|10686|13667|16870|19511|28755|32365,"Naruto|Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!|Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!|Naruto: Akaki Yotsuba no Clover wo Sagase|Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!|Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!|Naruto: Shippuuden|Naruto Movie 3: Dai Koufun! Mikazuki-jima no Animal Panic Dattebayo!|Naruto: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo! - Konoha no Sato no Dai Undoukai|Naruto: Shippuuden Movie 1|Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den|Naruto: Shippuuden Movie 2 - Kizuna|Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono|Naruto: The Cross Roads|Naruto: Shippuuden Movie 4 - The Lost Tower|Naruto x UT|Naruto: Shippuuden Movie 5 - Blood Prison|Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!|Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!|Naruto: Shippuuden Movie 6 - Road to Ninja|The Last: Naruto the Movie|Naruto: Shippuuden - Sunny Side Battle|Boruto: Naruto the Movie|Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi"
"Oda, Eiichirou",96881,0,12941,12941,45,45,0,0,Original Creator,21|459|460|461|462|463|464|465|466|1094|1237|1238|2020|2107|2385|2386|2490|3848|4155|5252|8740|9999|12001|12859|15323|16239|16468|19123|25161|31289|31490|32051|33338|33606|36215|37902|38234|38419|50410|56055|60022|60108|60790|61293|62214,"One Piece|One Piece Movie 01|One Piece Movie 02: Nejimaki-jima no Daibouken|One Piece Movie 03: Chinjuu-jima no Chopper Oukoku|One Piece Movie 04: Dead End no Bouken|One Piece Movie 05: Norowareta Seiken|One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima|One Piece Movie 07: Karakuri-jou no Mecha Kyohei|One Piece: Taose! Kaizoku Ganzack|One Piece: Umi no Heso no Daibouken-hen|One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!|One Piece: Mamore! Saigo no Oobutai|One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou|One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi|One Piece: Jango no Dance Carnival|One Piece: Yume no Soccer Ou!|One Piece: Mezase! Kaizoku Yakyuu Ou|One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura|One Piece Film: Strong World|One Piece: Romance Dawn Story|One Piece Film: Strong World Episode 0|One Piece 3D: Mugiwara Chase|One Piece 3D: Gekisou! Trap Coaster|One Piece Film: Z|One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna"
"Urobuchi, Gen",105308,12224,2374,12224,20,19,0,1,Original Creator|Original Story|Original Character Design,438|5682|10087|11741|13601|22729|23319|27655|28791|30091|33783|36816|37440|37441|37442|37897|52747|53213|59843|60666,"Phantom The Animation|Phantom: Requiem for the Phantom|Fate/Zero|Fate/Zero 2nd Season|Psycho-Pass|Aldnoah.Zero|Suisei no Gargantia: Meguru Kouro, Haruka|Aldnoah.Zero Part 2|Gunslinger Stratos The Animation|Chaos Dragon: Sekiryuu Seneki|Godzilla 1: Kaijuu Wakusei|Godzilla 2: Kessen Kidou Zoushoku Toshi|Psycho-Pass: Sinners of the System Case.1 - Tsumi to Batsu|Psycho-Pass: Sinners of the System Case.2 - First Guardian|Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿|Godzilla 3: Hoshi wo Kuu Mono|Psycho-Pass Movie 2: Providence|Revenger|Aldnoah.Zero: Ame no Danshou - The Penultimate Truth|Aldnoah.Zero (Re+)"
"Arakawa, Hiromu",96874,11002,3142,11002,19,16,0,3,Original Creator|Original Character Design,121|430|664|908|2772|6421|7902|9135|10842|16918|19363|28249|33254|38903|53426|56743|57562|60551|60595,Fullmetal Alchemist|Fullmetal Alchemist: The Conqueror of Shamballa|Fullmetal Alchemist: Reflections|Fullmetal Alchemist: Premium Collection|Juushin Enbu: Hero Tales|Fullmetal Alchemist: Brotherhood Specials|Fullmetal Alchemist: Brotherhood - 4-koma Gekijou|Fullmetal Alchemist: The Sacred Star of Milos|Fullmetal Alchemist: The Sacred Star of Milos Specials|Gin no Saji|Gin no Saji 2nd Season|Arslan Senki (TV)|Arslan Senki (TV) Gaiden|Moonrise|Hyakushou Kizoku|Hyakushou Kizoku Specials|Hyakushou Kizoku 2nd Season|Hyakushou Kizoku 3rd Season|Hyakushou Kizoku 2nd Season Specials
ONE,111993,10101,4312,10101,13,13,0,0,Original Story|Original Creator,30276|31704|31772|32182|34134|36616|37504|37510|39651|39705|49895|50172|52807,One Punch Man|One Punch Man: Road to Hero|One Punch Man Specials|Mob Psycho 100|One Punch Man 2nd Season|Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha|Mob Psycho Mini|Mob Psycho 100 II|Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi|One Punch Man 2nd Season Specials|Go! Saitama|Mob Psycho 100 III|One Punch Man 3
