character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
"Hagimura, Mother",,42033,0,0,0,4,8675|10119|20847|26123,"Matsuki, Miyu"
"Haitani, Masayuki",6422,6422,0,0,0,4,189|190|191|192,"Yoshino, Hiroyuki"
"Hamazaki, Noritaka",,143254,0,0,0,4,951|3203|9348|31202,"Orikasa, Ai|Kashiwakura, Tsutomu"
"Hayamiya, Natsumi",13543,13543,0,0,0,4,566|3974|5074|6380,"Yukana|Itou, Kanae"
Hayashida,33405,143300,0,0,0,4,2148|32301|58915|59632,"Chafuurin|Chiba, Isshin|Murata, Hideaki|Hayashi, Yuu"
"Hazawa, Masayuki",48529,48529,0,0,0,4,566|3974|5074|6380,"Higo, Makoto|Takagi, Motoki"
Hide,71711,71711,0,0,0,4,203|3673|29758|38881,"Kida, Utako|Satou, Takuya|Nagatsuka, Takuma|Hatano, Wataru"
Hideo,264744,95163,0,0,0,4,10901|10943|19115|36124,"Nishikawa, Mitsuyoshi|Sakaguchi, Tetsuo|Santamaria, Yuusuke|Santamaria, Yusuke|Sugita, Tomokazu"
"Himuro, Hijiri",135089,104281,0,0,0,4,31762|34032|39699|40543,"Seki, Toshihiko"
Hino,39486,39486,0,0,0,4,785|14669|50197|60781,"Nakahara, Shigeru|Saitou, Chiwa|Amasaki, Kouhei|Shirasu, Saho"
Hirooka,19151,19151,0,0,0,4,221|370|18377|33325,"Wakamoto, Norio|Ugaki, Hidenari|Hazama, Michio"
"Honda, Tadakatsu",53733,53733,0,0,0,4,11547|21497|28283|37126,"Sagawa, Naoki|Ootsuka, Akio|Koyama, Rikiya"
Hosokawa,169432,57851,0,0,0,4,222|3750|12355|31914,"Murozono, Takehiro|Koyama, Rikiya|Nakamura, Tadashi|Koyasu, Takehito"
Hostess,378664,259592,0,0,0,4,1082|1207|40128|58772,"Takahashi, Chiaki|Nakatani, Yumi|Chikiri, Kyouko|Gibu, Yuuko"
Huckmon,,143617,0,0,0,4,32551|34299|34962|36466,"Takeuchi, Shunsuke"
"Hymem, Jamitov",,35035,0,0,0,4,84|1968|1969|2695,"Nishimura, Tomomichi"
"II, Münchhausen",62275,,0,0,0,4,2342|2343|2344|2360,"Kogure, Demon|Yamaguchi, Ken"
"Ichijou, Mother",,97233,0,0,0,4,17549|23623|32547|39808,"Nagashima, Yuko"
"Igarashi, Kyouko",,153976,0,0,0,4,35346|35805|36942|37422,"Tanezaki, Atsumi"
"Igarashi, Takeru",154479,156565,0,0,0,4,33685|33686|33687|37320,"Hanawa, Eiji|Maeuchi, Takafumi"
