voice_actor_name,voice_actor_id_anilist,voice_actor_id_mal,voice_actor_favorites_mal,voice_actor_favorites_anilist,voice_actor_favorites,anime_count,main_role_count,supporting_role_count,anime_ids,anime_titles
"Tokita, Fujio",170385,26701,1,0,1,3,1,2,513|1441|2429,Tenkuu no Shiro Laputa|Ginga Tetsudou no Yoru|Unico: Mahou no Shima e
"Kishibe, Shirou",216444,35707,0,1,1,3,1,2,2920|2922|30360,Ashita no Joe (Movie)|Ashita no Joe 2 (Movie)|Poppen-sensei to Kaerazu no Numa
"Araida, Izumi",136243,40513,1,0,1,3,1,2,20473|32228|32454,Teekyuu 3|Teekyuu 7|Usakame
"Takamiya, Saori",203455,41508,0,1,1,3,1,2,34514|42544|48997,Pokemon Generations|Kaizoku Oujo|Fantasy Bishoujo Juniku Ojisan to
"Ogawa, Kazuki",170386,42972,0,1,1,3,1,2,1538|2746|18845,Pumpkin Scissors|Vexille: 2077 Nihon Sakoku|Ninja Hattori-kun (2012)
"Takano, Kentarou",130899,49351,0,1,1,3,1,2,38628|40154|55194,Hero Mask|Hero Mask 2nd Season|Ooi! Tonbo
"Kawaguchi, Sakura",,53731,1,0,1,3,1,3,57360|58944|59623,Kabushikigaisha Magi-Lumière|Jochum|Wandance
"Kawashiro, Hidenosuke",,58667,1,0,1,3,1,2,18849|34439|34440,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai|Code Geass: Hangyaku no Lelouch II - Handou|Code Geass: Hangyaku no Lelouch III - Oudou
"Mochida, Himari",,66662,1,0,1,3,1,2,37890|49154|58854,Oshi ga Budoukan Ittekuretara Shinu|High Card|Kinoko Inu
"Fukuhara, Kouhei",102953,7953,0,1,1,3,1,2,2418|7720|24275,Stranger: Mukou Hadan|Ookiku Furikabutte: Natsu no Taikai-hen|Medamayaki no Kimi Itsu Tsubusu?
"Midorikawa, Madoka",246522,81816,0,1,1,3,1,2,28779|32016|32872,Futa-bu!!|Secret Journey|Energy Kyouka!!
"Ishii, Shouko",103875,8875,0,1,1,3,1,2,325|857|3791,Peach Girl|Air Gear|Air Gear Special
"Endou, Junichi",104611,,1,0,1,2,1,1,927|9528,Transformers Superlink|Transformers Superlink Special
"Hasegawa, Tomoko",106462,,1,1,1,2,1,1,2383|38975,Cybersix|Sansha Mendan: Rensa Suru Chijoku Choukyou no Gakuen
"Ueda, Seiko",106706,,0,1,1,2,1,1,3701|52031,Kaiba|Itou Junji: Maniac
