mal_id,anilist_id,title,type,staff_id_anilist,staff_name,staff_role,staff_role_group,staff_language,staff_favorites_mal,staff_favorites_anilist,staff_favorites,source,staff_group_key
1367,1367.0,Meitantei Conan Movie 08: Ginyoku no Magician,Movie,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1367,1367.0,Meitantei Conan Movie 08: Ginyoku no Magician,Movie,115921,"Yamamoto, Yasuichirou",Director,director,Japanese,2,4,4,AniList,staff_id_anilist:115921
1368,1368.0,Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,OVA,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1368,1368.0,Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,OVA,195719,"Satou, Masato",Director,director,Japanese,0,0,0,AniList,staff_id_anilist:195719
1369,1369.0,Meitantei Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!,OVA,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1369,1369.0,Meitantei Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!,OVA,115921,"Yamamoto, Yasuichirou",Director,director,Japanese,2,4,4,AniList,staff_id_anilist:115921
1370,1370.0,Atama Yama,Movie,101065,"Yamamura, Kouji",Director,director,Japanese,0,112,112,AniList,staff_id_anilist:101065
1371,1371.0,Hi no Tori,TV,96938,"Tezuka, Osamu",Original Creator,original_creator,Japanese,4803,1951,4803,AniList,staff_id_anilist:96938
1371,1371.0,Hi no Tori,TV,100957,"Takahashi, Ryousuke",Director,director,Japanese,243,157,243,AniList,staff_id_anilist:100957
1372,1372.0,Taiho Shichau zo (TV),TV,97467,"Fujishima, Kousuke",Original Creator,original_creator,Japanese,159,80,159,AniList,staff_id_anilist:97467
