mal_id,anilist_id,title,type,staff_id_anilist,staff_name,staff_role,staff_role_group,staff_language,staff_favorites_mal,staff_favorites_anilist,staff_favorites,source,staff_group_key
1270,1270.0,Black Magic M-66,OVA,97609,"Shirow, Masamune",Original Creator,original_creator,Japanese,1222,391,1222,AniList,staff_id_anilist:97609
1270,1270.0,Black Magic M-66,OVA,97609,"Shirow, Masamune",Director,director,Japanese,1222,391,1222,AniList,staff_id_anilist:97609
1270,1270.0,Black Magic M-66,OVA,100654,"Kitakubo, Hiroyuki",Director,director,Japanese,44,36,44,AniList,staff_id_anilist:100654
1271,1271.0,Kyoukasho ni Nai!,OVA,97707,"Okada, Kazuto",Original Creator,original_creator,Japanese,208,95,208,AniList,staff_id_anilist:97707
1272,1272.0,Injuu Gakuen La Blue Girl,OVA,101414,"Maeda, Toshio",Original Creator,original_creator,Japanese,94,49,94,AniList,staff_id_anilist:101414
1272,1272.0,Injuu Gakuen La Blue Girl,OVA,150763,"Fukuda, Kiyomu",Director,director,Japanese,1,1,1,AniList,staff_id_anilist:150763
1273,1273.0,Injuu Gakuen La☆Blue Girl: Fukkatsu-hen,OVA,101414,"Maeda, Toshio",Original Creator,original_creator,Japanese,94,49,94,AniList,staff_id_anilist:101414
1274,1274.0,Injuu Gakuen EX,OVA,101414,"Maeda, Toshio",Original Creator,original_creator,Japanese,94,49,94,AniList,staff_id_anilist:101414
1275,1275.0,Can Can Bunny Extra,OVA,180923,"Soft, Cocktail",Original Creator,original_creator,Japanese,3,1,3,AniList,staff_id_anilist:180923
1276,1276.0,Ys,OVA,242073,"Corporation, Nihon Falcom",Original Creator,original_creator,Japanese,0,76,76,AniList,staff_id_anilist:242073
1276,1276.0,Ys,OVA,101722,"Watanabe, Takashi",Director,director,Japanese,71,28,71,AniList,staff_id_anilist:101722
1276,1276.0,Ys,OVA,109763,"Kamiya, Jun",Director,director,Japanese,2,2,2,AniList,staff_id_anilist:109763
1277,1277.0,Ys: Tenkuu no Shinden - Adol Christine no Bouken,OVA,101722,"Watanabe, Takashi",Director,director,Japanese,71,28,71,AniList,staff_id_anilist:101722
1278,1278.0,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,Special,96946,"Takeuchi, Naoko",Original Creator,original_creator,Japanese,1851,865,1851,AniList,staff_id_anilist:96946
1278,1278.0,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,Special,105087,"Igarashi, Takuya",Director,director,Japanese,153,160,160,AniList,staff_id_anilist:105087
1280,1280.0,Mamono Hunter Youko,OVA,147709,"Mutsuki, Juuzou",Original Creator,original_creator,Japanese,0,4,4,AniList,staff_id_anilist:147709
1280,1280.0,Mamono Hunter Youko,OVA,98155,"Miyao, Gaku",Original Character Design,original_character_design,Japanese,0,2,2,AniList,staff_id_anilist:98155
1281,1281.0,Gakkou no Kaidan,TV,105277,"Abe, Noriyuki",Director,director,Japanese,142,60,142,AniList,staff_id_anilist:105277
1283,1283.0,Choujuu Densetsu Gestalt,OVA,96944,"Kouga, Yun",Original Creator,original_creator,Japanese,188,53,188,AniList,staff_id_anilist:96944
1283,1283.0,Choujuu Densetsu Gestalt,OVA,101617,"Yamasaki, Osamu",Director,director,Japanese,14,6,14,AniList,staff_id_anilist:101617
1284,1284.0,Houma Hunter Lime,OVA,209658,"Nakamura, Kenichirou",Original Story,original_creator,Japanese,0,1,1,AniList,staff_id_anilist:209658
1284,1284.0,Houma Hunter Lime,OVA,104826,"Amino, Tetsurou",Director,director,Japanese,13,7,13,AniList,staff_id_anilist:104826
1285,1285.0,Soukihei MD Geist,OVA,100986,"Oohata, Kouichi",Director,director,Japanese,50,26,50,AniList,staff_id_anilist:100986
1285,1285.0,Soukihei MD Geist,OVA,233255,"Ikeda, Hayato",Director,director,Japanese,0,0,0,AniList,staff_id_anilist:233255
1286,1286.0,Soukihei MD Geist 2: Death Force,OVA,100986,"Oohata, Kouichi",Director,director,Japanese,50,26,50,AniList,staff_id_anilist:100986
1287,1287.0,Odin: Koushi Hansen Starlight,Movie,105570,"Yamamoto, Eiichi",Director,director,Japanese,28,33,33,AniList,staff_id_anilist:105570
1288,1288.0,Kidou Keisatsu Patlabor,OVA,133256,HEADGEAR,Original Creator,original_creator,Japanese,0,42,42,AniList,staff_id_anilist:133256
1288,1288.0,Kidou Keisatsu Patlabor,OVA,97011,"Yuuki, Masami",Original Character Design,original_character_design,Japanese,24,33,33,AniList,staff_id_anilist:97011
1289,1289.0,Kidou Keisatsu Patlabor: New OVA,OVA,99097,"Oshii, Mamoru",Original Creator,original_creator,Japanese,5094,2281,5094,AniList,staff_id_anilist:99097
1289,1289.0,Kidou Keisatsu Patlabor: New OVA,OVA,97011,"Yuuki, Masami",Original Creator,original_creator,Japanese,24,33,33,AniList,staff_id_anilist:97011
1289,1289.0,Kidou Keisatsu Patlabor: New OVA,OVA,115038,"Yoshinaga, Naoyuki",Director,director,Japanese,1,0,1,AniList,staff_id_anilist:115038
