user_level,method,evaluated_users,median_profile_size,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank
Beginner,advanced_split_item_knn,2844,28.0,0.8231364275668073,0.8231364275668073,0.6050370405240378,0.5371353808326382,0.5433614752001501,2.0,9.816455696202532
Beginner,advanced_split_latent_svd,2844,28.0,0.9360056258790436,0.9360056258790436,0.7726925148911707,0.7200353951408804,0.7218406223485282,1.0,5.775316455696203
Beginner,advanced_split_level_tuned_hybrid,2844,28.0,0.9574542897327707,0.9574542897327707,0.7913034272472078,0.7375502691167248,0.7394382418524438,1.0,3.2570323488045005
Beginner,advanced_split_popularity_baseline,2844,28.0,0.8737693389592124,0.8737693389592124,0.5962896171630894,0.5103301829831366,0.5165131929925965,2.0,5.956047819971871
Beginner,catboost_yetirank,2844,28.0,0.9676511954992968,0.9676511954992968,0.8070622542944158,0.7553136346385292,0.756970219369458,1.0,2.6357243319268635
Beginner,gbdt_signal_reranker,2844,28.0,0.9672995780590717,0.9672995780590717,0.8052627222564885,0.7531272134647663,0.7547869675625944,1.0,2.678621659634318
Beginner,implicit_als_cf,2844,28.0,0.9437412095639943,0.9437412095639943,0.8068375639265509,0.7623746887196254,0.7641926264506144,1.0,4.688818565400844
Beginner,lightgbm_lambdarank,2844,28.0,0.969760900140647,0.969760900140647,0.806558234274916,0.7539907945234949,0.7554686963610912,1.0,2.6434599156118144
Beginner,neural_mlp_reranker,2844,28.0,0.9718706047819972,0.9718706047819972,0.8091961848671516,0.7568073237904461,0.758150747544415,1.0,2.571026722925457
Beginner,pointwise_logistic_reranker,2844,28.0,0.9687060478199718,0.9687060478199718,0.8094598436968257,0.7579788364862204,0.7594787140111829,1.0,2.6322081575246132
Beginner,torch_feature_mlp_reranker,2844,28.0,0.9718706047819972,0.9718706047819972,0.8092683424824223,0.7570621956961618,0.7584197725036677,1.0,2.5780590717299576
Beginner,torch_two_tower_cf,2844,28.0,0.12834036568213783,0.12834036568213783,0.06829871438755575,0.05130694629639777,0.07365219187314921,44.5,46.06786216596343
Beginner,xgboost_pairwise_ranker,2844,28.0,0.9708157524613221,0.9708157524613221,0.806747062257272,0.7539371766692442,0.755370599320937,1.0,2.6367791842475388
