method,evaluated_users,hit_rate_at_10,ndcg_at_10,mean_reciprocal_rank,median_rank,mean_rank,candidate_pool_per_user,like_threshold,min_user_positives,min_item_positives,coverage_at_10,unique_recommended_at_10,mean_novelty_at_10,mean_unique_genres_at_10,mean_genre_diversity_ratio_at_10
latent_svd,15000,0.9102,0.7162948394946425,0.6583161471683879,1.0,5.693133333333333,101,7,5,20,0.5177775361530934,4762,0.2751849550142884,14.647733333333333,0.31631745173532194
hybrid_svd_popularity,15000,0.9096,0.7156597756486492,0.6580817987066397,1.0,4.891133333333333,101,7,5,20,0.43133630531695116,3967,0.25682697177966435,14.766466666666666,0.3133431440721886
popularity_baseline,15000,0.7698666666666667,0.5013120053013872,0.43041698867857797,4.0,7.838933333333333,101,7,5,20,0.20310970968794173,1868,0.2017004409925143,15.1066,0.3068474019928648
random_uniform,15000,0.10033333333333333,0.04517541995780458,0.05145154358245083,51.0,50.93613333333333,101,7,5,20,1.0,9197,0.5776947007918358,13.2168,0.38965597534397717
