user_level,method,evaluated_users,median_profile_size,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank
Beginner,level_tuned_product_hybrid,4297,28.0,0.9569467070048872,0.9569467070048872,0.7897375917806106,0.7357262575554406,0.7375536924069321,1.0,3.4207586688387246
Beginner,tuned_product_hybrid,4297,28.0,0.9569467070048872,0.9569467070048872,0.7897375917806106,0.7357262575554406,0.7375536924069321,1.0,3.4207586688387246
Beginner,full_product_hybrid,4297,28.0,0.9532231789620665,0.9532231789620665,0.7874981133898087,0.7340393697270587,0.736112214318425,1.0,3.2571561554572956
Beginner,latent_svd,4297,28.0,0.9346055387479637,0.9346055387479637,0.772378683190795,0.720171905900321,0.7220512219020402,1.0,5.848266232255062
Beginner,item_knn_collaborative,4297,28.0,0.8231324179660228,0.8231324179660228,0.606427444455463,0.5388627624024412,0.5449126882290231,2.0,9.991156620898302
Beginner,metadata_content,4297,28.0,0.7891552245752851,0.7891552245752851,0.4846531865556468,0.39134859852220805,0.4010098560531366,4.0,8.640679543867815
Beginner,graph_related,4297,28.0,0.8852687921805911,0.8852687921805911,0.6829130814465146,0.6177264600525015,0.6197084837493353,2.0,12.246683732836862
Beginner,people_staff_affinity,4297,28.0,0.6139166860600419,0.6139166860600419,0.3896294128037184,0.321903272560708,0.3370063833035406,7.0,15.393297649522923
Beginner,popularity_baseline,4297,28.0,0.8729346055387479,0.8729346055387479,0.599646892020614,0.5147223590672508,0.5209815857847852,2.0,5.882708866651152
Casual,level_tuned_product_hybrid,8208,95.0,0.969785575048733,0.969785575048733,0.7800334046657255,0.7191573340970271,0.7205134167513905,1.0,3.0321637426900585
Casual,tuned_product_hybrid,8208,95.0,0.9655214424951267,0.9655214424951267,0.7707281320052409,0.7082930521801135,0.7099877812783976,1.0,3.0347222222222223
Casual,full_product_hybrid,8208,95.0,0.9529727095516569,0.9529727095516569,0.7687211087281679,0.709759426800728,0.7119748232334011,1.0,3.292519493177388
Casual,latent_svd,8208,95.0,0.9479775828460039,0.9479775828460039,0.764739412884585,0.7060134245898135,0.7079364359777247,1.0,4.434576023391813
Casual,item_knn_collaborative,8208,95.0,0.7651072124756335,0.7651072124756335,0.5020501094455007,0.42118164554202564,0.42970895653070995,4.0,12.044346978557504
Casual,metadata_content,8208,95.0,0.7258771929824561,0.7258771929824561,0.40928561789337226,0.31323963932699317,0.32584618247305747,5.0,10.496832358674464
Casual,graph_related,8208,95.0,0.9336013645224172,0.9336013645224172,0.6562593384486827,0.5688896633066954,0.5715433626385169,2.0,6.032041910331384
Casual,people_staff_affinity,8208,95.0,0.5852826510721247,0.5852826510721247,0.33892156629128894,0.26531488126882863,0.2818824413258554,9.0,16.083942495126706
Casual,popularity_baseline,8208,95.0,0.8520955165692008,0.8520955165692008,0.5718670989710449,0.4850439000841048,0.49215537847783986,3.0,6.502436647173489
Fan,level_tuned_product_hybrid,9410,248.0,0.9560042507970244,0.9560042507970244,0.7233767960782452,0.6496526407233103,0.6519050616258667,1.0,3.473113708820404
Fan,tuned_product_hybrid,9410,248.0,0.9517534537725824,0.9517534537725824,0.7113509637521197,0.6353932293942921,0.6378391522407523,2.0,3.5987247608926674
