method,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank,candidate_pool_per_user,like_threshold,min_user_positives,min_item_positives,coverage_at_12,unique_recommended_at_12,mean_novelty_at_12,mean_unique_genres_at_12,mean_genre_diversity_ratio_at_12,balanced_profile_hit_at_12,balanced_profile_ndcg_at_12,balanced_profile_map_at_12,balanced_profile_mrr
level_tuned_product_hybrid,23756,0.955169220407476,0.955169220407476,0.7465381298809323,0.6801293762924508,0.6822469031099371,1.0,3.513596565078296,101,7,5,10,0.639315285142804,6872,0.3406038387859057,13.23425660885671,0.3204962991963694,0.941080656841124,0.7269761856348905,0.6591681410669195,0.6619021219209605
tuned_product_hybrid,23756,0.9511702306785654,0.9511702306785654,0.7371496886231089,0.6691446690341707,0.6715190320085948,1.0,3.5591850479878766,101,7,5,10,0.5335380035352125,5735,0.32013629672546734,13.386091934669135,0.31395498971972785,0.9362360091831681,0.7170954666485921,0.6477816203834078,0.6508524591437994
full_product_hybrid,23756,0.9383734635460516,0.9383734635460516,0.7370669793988299,0.6731836911801973,0.6760565595479839,1.0,3.8372200707189763,101,7,5,10,0.4305516792259745,4628,0.3040838595047964,13.528203401246001,0.30644587760049025,0.9235391982969239,0.7180800048186581,0.653173037871497,0.6566740562918577
latent_svd,23756,0.9366054891395857,0.9366054891395857,0.7375617113478502,0.674371666293707,0.6768853288841837,1.0,4.813057753830611,101,7,5,10,0.5847985859149688,6286,0.34353229743062363,13.103258124263345,0.3255876404308901,0.9230116860508859,0.719202779107377,0.6548228651870458,0.6579555813758656
graph_related,23756,0.8996464051187069,0.8996464051187069,0.6180456912082145,0.5302496800686731,0.534264040624262,2.0,7.618159622832127,101,7,5,10,0.8673364964182715,9323,0.35802247377048,13.343955211315036,0.32398339319616587,0.8749387116545544,0.5965586222113946,0.5100158189666513,0.5150784507098922
popularity_baseline,23756,0.829432564404782,0.829432564404782,0.5415408867475136,0.4529480408321543,0.4610521779071146,3.0,7.270373800303081,101,7,5,10,0.24085961484789284,2589,0.2566425110312618,13.219776056575181,0.30827283721369864,0.8119277324052114,0.5236367662333323,0.4351635002066305,0.44389422739241646
metadata_content,23756,0.6967923892911264,0.6967923892911264,0.38859104869684896,0.2952456789529529,0.30865111864835565,6.0,11.700286243475333,101,7,5,10,0.40534003163084936,4357,0.3889596207183309,14.061879104226302,0.28423461911826514,0.6778493262395942,0.37808311164294506,0.28735124970191056,0.30124159804319617
item_knn_collaborative,23756,0.6696413537632598,0.6696413537632598,0.43293487871415615,0.36063451851884243,0.3716714303852442,5.0,17.125820845260144,101,7,5,10,0.9668806400595404,10393,0.5288372270068963,12.451717460851995,0.35278987278530005,0.6257301452775323,0.40878386274522976,0.3425326500092262,0.35399318491521836
people_staff_affinity,23756,0.5555228152887691,0.5555228152887691,0.3149627881802423,0.24332338035297288,0.26081322175290167,10.0,17.244611887523153,101,7,5,10,0.49902316494557636,5364,0.45094284989510985,12.809016669472975,0.3433947307218356,0.538112206099634,0.3054271681158964,0.23613172095782395,0.25415462482531376
