method,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank,candidate_pool_per_user,like_threshold,min_user_positives,min_item_positives,advanced_train_cases,advanced_eval_cases,feature_count,balanced_profile_hit_at_12,balanced_profile_ndcg_at_12,balanced_profile_map_at_12,balanced_profile_mrr
neural_mlp_reranker,15838,0.9616744538451825,0.9616744538451825,0.7613688333042777,0.6976166514239504,0.699605347214163,1.0,3.0476070210885213,101,7,5,10,7918,15838,17,0.9504288430106415,0.742870749273183,0.6771676045650563,0.6796982096441437
xgboost_pairwise_ranker,15838,0.9616744538451825,0.9616744538451825,0.7606218542408597,0.6965496407802886,0.6985221165186818,1.0,3.0531001389064274,101,7,5,10,7918,15838,17,0.9507907174091726,0.7424825392907966,0.67653628205488,0.6790278969072527
torch_feature_mlp_reranker,15838,0.961358757418866,0.961358757418866,0.7603163265903499,0.6962270883204713,0.6982342692469306,1.0,3.043250410405354,101,7,5,10,7918,15838,17,0.9507024860332731,0.7415782173764497,0.6753461543957296,0.6778671557998838
lightgbm_lambdarank,15838,0.9609799217072863,0.9609799217072863,0.7573583380060377,0.692456925887599,0.6944604614372042,1.0,3.082144210127541,101,7,5,10,7918,15838,17,0.9502217446032364,0.7373926009495373,0.6700020928641995,0.6725139587675122
catboost_yetirank,15838,0.9609167824220229,0.9609167824220229,0.7610239816803668,0.6972874798168396,0.699266317931347,1.0,3.081575956560172,101,7,5,10,7918,15838,17,0.9504890007960624,0.7425149537391121,0.6766223034807243,0.6790952672119787
gbdt_signal_reranker,15838,0.9599696931430736,0.9599696931430736,0.7588828674501092,0.6948434701496957,0.6969001458177368,1.0,3.1069579492360146,101,7,5,10,7918,15838,17,0.9493395668585768,0.7401124617736832,0.6739288912031375,0.6765014125580412
pointwise_logistic_reranker,15838,0.9584543502967546,0.9584543502967546,0.7495424860788671,0.682911470886594,0.6849644742148632,1.0,3.199457002146736,101,7,5,10,7918,15838,17,0.9463279151432278,0.728746626168963,0.6597883571325915,0.6624195554889023
advanced_split_level_tuned_hybrid,15838,0.9555499431746433,0.9555499431746433,0.7482494944611339,0.6822984481037897,0.6844212701427136,1.0,3.4700719787852004,101,7,5,10,7918,15838,17,0.9425163996315498,0.7294142790308156,0.6620020459997942,0.664693237985894
implicit_als_cf,15838,0.9538451824725344,0.9538451824725344,0.7697564611679554,0.7107153061471788,0.7126570249775093,1.0,3.7814117944184873,101,7,5,10,7918,15838,17,0.9446910045059445,0.7488547181378459,0.6864729995499964,0.6888184187542996
advanced_split_latent_svd,15838,0.9374289683040788,0.9374289683040788,0.7397516967289747,0.676972341895312,0.67947689588523,1.0,4.734941280464705,101,7,5,10,7918,15838,17,0.9246651283185915,0.721702282087451,0.6575928325861808,0.6606847063981549
advanced_split_popularity_baseline,15838,0.8318600833438565,0.8318600833438565,0.541224199212775,0.45192275067890675,0.45992096208568767,3.0,7.241760323273141,101,7,5,10,7918,15838,17,0.8158260564221487,0.5246124912992081,0.4353624718804478,0.44394698125332055
advanced_split_item_knn,15838,0.6713600202045713,0.6713600202045713,0.43408220389512964,0.36158110245747577,0.37258670636588226,5.0,17.04224018184114,101,7,5,10,7918,15838,17,0.6259756091993204,0.40921531337178213,0.34302630286014607,0.35451310447840456
torch_two_tower_cf,15838,0.12602601338552846,0.12602601338552846,0.0644828190968989,0.0471818559013912,0.06917947489618734,46.0,47.08877383508019,101,7,5,10,7918,15838,17,0.1299405326263186,0.06637619977077094,0.04843759519350008,0.07023281333662677
